Airport,Year,Month,Public Parking Counts at PA Airports 
LaGuardia Airport,2008,7,156218
LaGuardia Airport,2008,8,156900
LaGuardia Airport,2008,9,120422
LaGuardia Airport,2008,10,130115
LaGuardia Airport,2008,11,114568
LaGuardia Airport,2008,12,124501
LaGuardia Airport,2009,1,104265
LaGuardia Airport,2009,2,102145
LaGuardia Airport,2009,3,113840
LaGuardia Airport,2009,4,120477
LaGuardia Airport,2009,5,118642
LaGuardia Airport,2009,6,133840
LaGuardia Airport,2009,7,148461
LaGuardia Airport,2009,8,144611
LaGuardia Airport,2009,9,117021
LaGuardia Airport,2009,10,125938
LaGuardia Airport,2009,11,120539
LaGuardia Airport,2009,12,120278
LaGuardia Airport,2010,1,109281
LaGuardia Airport,2010,2,95746
LaGuardia Airport,2010,3,128485
LaGuardia Airport,2010,4,129291
LaGuardia Airport,2010,5,130791
LaGuardia Airport,2010,6,138255
LaGuardia Airport,2010,7,146571
LaGuardia Airport,2010,8,146484
LaGuardia Airport,2010,9,124625
LaGuardia Airport,2010,10,134677
LaGuardia Airport,2010,11,126557
LaGuardia Airport,2010,12,120112
LaGuardia Airport,2011,1,103601
LaGuardia Airport,2011,2,99047
LaGuardia Airport,2011,3,127068
LaGuardia Airport,2011,4,125446
LaGuardia Airport,2011,5,133424
LaGuardia Airport,2011,6,138035
LaGuardia Airport,2011,7,140040
LaGuardia Airport,2011,8,136312
LaGuardia Airport,2011,9,119120
LaGuardia Airport,2011,10,123220
LaGuardia Airport,2011,11,121090
LaGuardia Airport,2011,12,115406
LaGuardia Airport,2012,1,105691
LaGuardia Airport,2012,2,105079
LaGuardia Airport,2012,3,123759
LaGuardia Airport,2012,4,126679
LaGuardia Airport,2012,5,131873
LaGuardia Airport,2012,6,134524
LaGuardia Airport,2012,7,138600
LaGuardia Airport,2012,8,144247
LaGuardia Airport,2012,9,121618
LaGuardia Airport,2012,10,121532
LaGuardia Airport,2012,11,117556
LaGuardia Airport,2012,12,122469
LaGuardia Airport,2013,1,112645
LaGuardia Airport,2013,2,104215
LaGuardia Airport,2013,3,126450
LaGuardia Airport,2013,4,123859
LaGuardia Airport,2013,5,127945
LaGuardia Airport,2013,6,130027
LaGuardia Airport,2013,7,132026
LaGuardia Airport,2013,8,132365
LaGuardia Airport,2013,9,112348
LaGuardia Airport,2013,10,124018
LaGuardia Airport,2013,11,111541
LaGuardia Airport,2013,12,114432
LaGuardia Airport,2014,1,101669
LaGuardia Airport,2014,2,84435
LaGuardia Airport,2014,3,106491
LaGuardia Airport,2014,4,107804
LaGuardia Airport,2014,5,115810
LaGuardia Airport,2014,6,115418
LaGuardia Airport,2014,7,116491
LaGuardia Airport,2014,8,111105
LaGuardia Airport,2014,9,94592
LaGuardia Airport,2014,10,100812
LaGuardia Airport,2014,11,96394
LaGuardia Airport,2014,12,95164
LaGuardia Airport,2015,1,81784
LaGuardia Airport,2015,2,78844
LaGuardia Airport,2015,3,95749
LaGuardia Airport,2015,4,97617
LaGuardia Airport,2015,5,96448
LaGuardia Airport,2015,6,103214
LaGuardia Airport,2015,7,108105
LaGuardia Airport,2015,8,109035
LaGuardia Airport,2015,9,95713
LaGuardia Airport,2015,10,105713
LaGuardia Airport,2015,11,98958
LaGuardia Airport,2015,12,99579
LaGuardia Airport,2016,1,86903
LaGuardia Airport,2016,2,86374
LaGuardia Airport,2016,3,104536
LaGuardia Airport,2016,4,103143
LaGuardia Airport,2016,5,106766
LaGuardia Airport,2016,6,109532
LaGuardia Airport,2016,7,68013
LaGuardia Airport,2016,8,54454
LaGuardia Airport,2016,9,43005
Stewart International Airport,2002,1,0
Stewart International Airport,2002,2,0
Stewart International Airport,2002,3,0
Stewart International Airport,2002,4,0
Stewart International Airport,2002,5,0
Stewart International Airport,2002,6,0
Stewart International Airport,2002,7,0
Stewart International Airport,2002,8,0
Stewart International Airport,2002,9,0
Stewart International Airport,2002,10,0
Stewart International Airport,2002,11,0
Stewart International Airport,2002,12,0
Stewart International Airport,2003,1,0
Stewart International Airport,2003,2,0
Stewart International Airport,2003,3,0
Stewart International Airport,2003,4,0
Stewart International Airport,2003,5,0
Stewart International Airport,2003,6,0
Stewart International Airport,2003,7,0
Stewart International Airport,2003,8,0
Stewart International Airport,2003,9,0
Stewart International Airport,2003,10,0
Stewart International Airport,2003,11,0
Stewart International Airport,2003,12,0
Stewart International Airport,2004,1,0
Stewart International Airport,2004,2,0
Stewart International Airport,2004,3,0
Stewart International Airport,2004,4,0
Stewart International Airport,2004,5,0
Stewart International Airport,2004,6,0
Stewart International Airport,2004,7,0
Stewart International Airport,2004,8,0
Stewart International Airport,2004,9,0
Stewart International Airport,2004,10,0
Stewart International Airport,2004,11,0
Stewart International Airport,2004,12,0
Stewart International Airport,2005,1,0
Stewart International Airport,2005,2,0
Stewart International Airport,2005,3,0
Stewart International Airport,2005,4,0
Stewart International Airport,2005,5,0
Stewart International Airport,2005,6,0
Stewart International Airport,2005,7,0
Stewart International Airport,2005,8,0
Stewart International Airport,2005,9,0
Stewart International Airport,2005,10,0
Stewart International Airport,2005,11,0
Stewart International Airport,2005,12,0
Stewart International Airport,2006,1,0
Stewart International Airport,2006,2,0
Stewart International Airport,2006,3,0
Stewart International Airport,2006,4,0
Stewart International Airport,2006,5,0
Stewart International Airport,2006,6,0
Stewart International Airport,2006,7,0
Stewart International Airport,2006,8,0
Stewart International Airport,2006,9,0
Stewart International Airport,2006,10,0
Stewart International Airport,2006,11,0
Stewart International Airport,2006,12,0
Stewart International Airport,2007,1,0
Stewart International Airport,2007,2,0
Stewart International Airport,2007,3,0
Stewart International Airport,2007,4,0
Stewart International Airport,2007,5,0
Stewart International Airport,2007,6,0
Stewart International Airport,2007,7,0
Stewart International Airport,2007,8,0
Stewart International Airport,2007,9,0
Stewart International Airport,2007,10,0
Stewart International Airport,2007,11,0
Stewart International Airport,2007,12,0
Stewart International Airport,2008,1,34901
Stewart International Airport,2008,2,46868
Stewart International Airport,2008,3,52174
Stewart International Airport,2008,4,46903
Stewart International Airport,2008,5,31862
Stewart International Airport,2008,6,25322
Stewart International Airport,2008,7,28942
Stewart International Airport,2008,8,28769
Stewart International Airport,2008,9,13536
Stewart International Airport,2008,10,14637
Stewart International Airport,2008,11,14524
Stewart International Airport,2008,12,14637
Stewart International Airport,2009,1,13738
Stewart International Airport,2009,2,14683
Stewart International Airport,2009,3,14867
Stewart International Airport,2009,4,14268
Stewart International Airport,2009,5,12708
Stewart International Airport,2009,6,10534
Stewart International Airport,2009,7,11532
Stewart International Airport,2009,8,12071
Stewart International Airport,2009,9,11097
Stewart International Airport,2009,10,13108
Stewart International Airport,2009,11,14405
Stewart International Airport,2009,12,14352
Stewart International Airport,2010,1,7315
Stewart International Airport,2010,2,6657
Stewart International Airport,2010,3,8258
Stewart International Airport,2010,4,7856
Stewart International Airport,2010,5,8573
Stewart International Airport,2010,6,7991
Stewart International Airport,2010,7,8472
Stewart International Airport,2010,8,8358
Stewart International Airport,2010,9,7339
Stewart International Airport,2010,10,7593
Stewart International Airport,2010,11,7580
Stewart International Airport,2010,12,8501
Stewart International Airport,2011,1,7054
Stewart International Airport,2011,2,6357
Stewart International Airport,2011,3,7665
Stewart International Airport,2011,4,7609
Stewart International Airport,2011,5,8339
Stewart International Airport,2011,6,8488
Stewart International Airport,2011,7,9519
Stewart International Airport,2011,8,9390
Stewart International Airport,2011,9,7340
Stewart International Airport,2011,10,7951
Stewart International Airport,2011,11,7372
Stewart International Airport,2011,12,7490
Stewart International Airport,2012,1,6772
Stewart International Airport,2012,2,6766
Stewart International Airport,2012,3,7935
Stewart International Airport,2012,4,7164
Stewart International Airport,2012,5,6902
Stewart International Airport,2012,6,7182
Stewart International Airport,2012,7,8045
Stewart International Airport,2012,8,8028
Stewart International Airport,2012,9,5294
Stewart International Airport,2012,10,5542
Stewart International Airport,2012,11,5387
Stewart International Airport,2012,12,5767
Stewart International Airport,2013,1,5377
Stewart International Airport,2013,2,5134
Stewart International Airport,2013,3,6358
Stewart International Airport,2013,4,6078
Stewart International Airport,2013,5,5695
Stewart International Airport,2013,6,5904
Stewart International Airport,2013,7,7032
Stewart International Airport,2013,8,6897
Stewart International Airport,2013,9,5861
Stewart International Airport,2013,10,5905
Stewart International Airport,2013,11,5697
Stewart International Airport,2013,12,6094
Stewart International Airport,2014,1,5644
Stewart International Airport,2014,2,4982
Stewart International Airport,2014,3,5678
Stewart International Airport,2014,4,6054
Stewart International Airport,2014,5,6287
Stewart International Airport,2014,6,5863
Stewart International Airport,2014,7,6404
Stewart International Airport,2014,8,6247
Stewart International Airport,2014,9,5873
Stewart International Airport,2014,10,5706
Stewart International Airport,2014,11,5298
Stewart International Airport,2014,12,5407
Stewart International Airport,2015,1,4825
Stewart International Airport,2015,2,4508
Stewart International Airport,2015,3,4974
Stewart International Airport,2015,4,5807
Stewart International Airport,2015,5,5778
Stewart International Airport,2015,6,5582
Stewart International Airport,2015,7,6245
Stewart International Airport,2015,8,6248
Stewart International Airport,2015,9,5063
Stewart International Airport,2015,10,5298
Stewart International Airport,2015,11,4718
Stewart International Airport,2015,12,4749
Stewart International Airport,2016,1,4621
Stewart International Airport,2016,2,4265
Stewart International Airport,2016,3,5138
Stewart International Airport,2016,4,5309
Stewart International Airport,2016,5,4764
Stewart International Airport,2016,6,4994
Stewart International Airport,2016,7,5730
Stewart International Airport,2016,8,5559
Stewart International Airport,2016,9,5680
