Airport,Year,Month,Shared Ride Reservation
Newark Liberty International Airport,2012,1,5591
Newark Liberty International Airport,2012,2,6106
Newark Liberty International Airport,2012,3,8420
Newark Liberty International Airport,2012,4,9320
Newark Liberty International Airport,2012,5,11164
Newark Liberty International Airport,2012,6,10677
Newark Liberty International Airport,2012,7,10579
Newark Liberty International Airport,2012,8,11607
Newark Liberty International Airport,2012,9,10600
Newark Liberty International Airport,2012,10,10016
Newark Liberty International Airport,2012,11,8844
Newark Liberty International Airport,2012,12,9127
Newark Liberty International Airport,2013,1,6866
Newark Liberty International Airport,2013,2,6911
Newark Liberty International Airport,2013,3,9527
Newark Liberty International Airport,2013,4,9748
Newark Liberty International Airport,2013,5,10964
Newark Liberty International Airport,2013,6,10046
Newark Liberty International Airport,2013,7,9371
Newark Liberty International Airport,2013,8,10473
Newark Liberty International Airport,2013,9,9353
Newark Liberty International Airport,2013,10,9378
Newark Liberty International Airport,2013,11,7664
Newark Liberty International Airport,2013,12,9298
Newark Liberty International Airport,2014,1,6504
Newark Liberty International Airport,2014,2,6077
Newark Liberty International Airport,2014,3,8123
Newark Liberty International Airport,2014,4,9080
Newark Liberty International Airport,2014,5,10859
Newark Liberty International Airport,2014,6,9581
Newark Liberty International Airport,2014,7,8561
Newark Liberty International Airport,2014,8,10225
Newark Liberty International Airport,2014,9,9301
Newark Liberty International Airport,2014,10,9211
Newark Liberty International Airport,2014,11,7764
Newark Liberty International Airport,2014,12,9316
Newark Liberty International Airport,2015,1,5899
Newark Liberty International Airport,2015,2,6047
Newark Liberty International Airport,2015,3,7846
Newark Liberty International Airport,2015,4,8036
Newark Liberty International Airport,2015,5,8693
Newark Liberty International Airport,2015,6,7835
Newark Liberty International Airport,2015,7,7440
Newark Liberty International Airport,2015,8,8641
Newark Liberty International Airport,2015,9,8986
Newark Liberty International Airport,2015,10,8987
Newark Liberty International Airport,2015,11,8081
Newark Liberty International Airport,2015,12,9406
LaGuardia Airport,2005,1,8828
LaGuardia Airport,2005,2,8145
LaGuardia Airport,2005,3,10714
LaGuardia Airport,2005,4,10141
LaGuardia Airport,2005,5,12186
LaGuardia Airport,2005,6,11266
LaGuardia Airport,2005,7,12883
LaGuardia Airport,2005,8,12023
LaGuardia Airport,2005,9,10714
LaGuardia Airport,2005,10,10792
LaGuardia Airport,2005,11,10138
LaGuardia Airport,2005,12,12057
LaGuardia Airport,2006,1,10351
LaGuardia Airport,2006,2,9040
LaGuardia Airport,2006,3,13392
LaGuardia Airport,2006,4,11820
LaGuardia Airport,2006,5,13558
LaGuardia Airport,2006,6,14105
LaGuardia Airport,2006,7,13361
LaGuardia Airport,2006,8,13061
LaGuardia Airport,2006,9,11346
LaGuardia Airport,2006,10,11669
LaGuardia Airport,2006,11,10923
LaGuardia Airport,2006,12,11307
LaGuardia Airport,2007,1,9061
LaGuardia Airport,2007,2,8748
LaGuardia Airport,2007,3,12223
LaGuardia Airport,2007,4,12559
LaGuardia Airport,2007,5,11729
LaGuardia Airport,2007,6,11405
LaGuardia Airport,2007,7,11398
LaGuardia Airport,2007,8,11459
LaGuardia Airport,2007,9,8930
LaGuardia Airport,2007,10,8787
LaGuardia Airport,2007,11,8496
LaGuardia Airport,2007,12,8007
LaGuardia Airport,2008,1,7864
LaGuardia Airport,2008,2,6840
LaGuardia Airport,2008,3,9590
LaGuardia Airport,2008,4,8181
LaGuardia Airport,2008,5,9731
LaGuardia Airport,2008,6,10064
LaGuardia Airport,2008,7,8754
LaGuardia Airport,2008,8,10050
LaGuardia Airport,2008,9,7904
LaGuardia Airport,2008,10,8370
LaGuardia Airport,2008,11,6997
LaGuardia Airport,2008,12,8165
LaGuardia Airport,2009,1,6323
LaGuardia Airport,2009,2,5903
LaGuardia Airport,2009,3,8352
LaGuardia Airport,2009,4,8462
LaGuardia Airport,2009,5,9115
LaGuardia Airport,2009,6,10310
LaGuardia Airport,2009,7,10850
LaGuardia Airport,2009,8,10937
LaGuardia Airport,2009,9,9837
LaGuardia Airport,2009,10,10057
LaGuardia Airport,2009,11,8509
LaGuardia Airport,2009,12,9838
LaGuardia Airport,2010,1,7359
LaGuardia Airport,2010,2,6128
LaGuardia Airport,2010,3,9495
LaGuardia Airport,2010,4,9512
LaGuardia Airport,2010,5,11124
LaGuardia Airport,2010,6,11846
LaGuardia Airport,2010,7,10949
LaGuardia Airport,2010,8,10669
LaGuardia Airport,2010,9,9888
LaGuardia Airport,2010,10,10285
LaGuardia Airport,2010,11,9034
LaGuardia Airport,2010,12,9392
LaGuardia Airport,2011,1,8082
LaGuardia Airport,2011,2,6532
LaGuardia Airport,2011,3,10288
LaGuardia Airport,2011,4,9038
LaGuardia Airport,2011,5,11322
LaGuardia Airport,2011,6,11358
LaGuardia Airport,2011,7,10715
LaGuardia Airport,2011,8,9679
LaGuardia Airport,2011,9,8881
LaGuardia Airport,2011,10,9523
LaGuardia Airport,2011,11,9251
LaGuardia Airport,2011,12,9546
LaGuardia Airport,2012,1,7386
LaGuardia Airport,2012,2,7074
LaGuardia Airport,2012,3,10396
LaGuardia Airport,2012,4,9129
LaGuardia Airport,2012,5,11228
LaGuardia Airport,2012,6,12219
LaGuardia Airport,2012,7,11838
LaGuardia Airport,2012,8,12943
LaGuardia Airport,2012,9,11157
LaGuardia Airport,2012,10,11182
LaGuardia Airport,2012,11,10457
LaGuardia Airport,2012,12,10770
LaGuardia Airport,2013,1,8928
LaGuardia Airport,2013,2,7306
LaGuardia Airport,2013,3,10221
LaGuardia Airport,2013,4,9240
LaGuardia Airport,2013,5,10367
LaGuardia Airport,2013,6,9912
LaGuardia Airport,2013,7,9759
LaGuardia Airport,2013,8,10272
LaGuardia Airport,2013,9,8475
LaGuardia Airport,2013,10,9147
LaGuardia Airport,2013,11,8192
LaGuardia Airport,2013,12,9316
LaGuardia Airport,2014,1,7823
LaGuardia Airport,2014,2,6370
LaGuardia Airport,2014,3,9704
LaGuardia Airport,2014,4,7837
LaGuardia Airport,2014,5,9475
LaGuardia Airport,2014,6,9601
LaGuardia Airport,2014,7,9118
LaGuardia Airport,2014,8,9280
LaGuardia Airport,2014,9,8218
LaGuardia Airport,2014,10,8857
LaGuardia Airport,2014,11,7336
LaGuardia Airport,2014,12,8531
LaGuardia Airport,2015,1,6196
LaGuardia Airport,2015,2,5707
LaGuardia Airport,2015,3,8009
LaGuardia Airport,2015,4,7252
LaGuardia Airport,2015,5,8088
LaGuardia Airport,2015,6,8323
LaGuardia Airport,2015,7,8237
LaGuardia Airport,2015,8,7966
LaGuardia Airport,2015,9,7079
LaGuardia Airport,2015,10,7085
LaGuardia Airport,2015,11,6291
LaGuardia Airport,2015,12,7362
